id,file_name,company,date,total,address,confidence_json,raw_json,items_json
1,X00016469676.jpg,"HOTOR ( SUNGAT RENGIT ) SON, BHD.",23-01-2019,20.0,"Jalan Kurau, Sungai Rengit, 81620 Pengerang, Johor. el;","{""COMPANY"": 0.9355188267571586, ""ADDRESS"": 0.9747288450598717, ""TOTAL"": 0.9163268804550171, ""DATE"": 0.9987420439720154}","{""COMPANY"": ""HOTOR ( SUNGAT RENGIT ) SON, BHD."", ""ADDRESS"": ""Jalan Kurau, Sungai Rengit, 81620 Pengerang, Johor. el;"", ""TOTAL"": ""20.00"", ""DATE"": ""23-01-2019""}",
2,X51005200931.jpg,PERNIAGAAN ZHENG,09/02/2078,436.2,JALAN PERMAS 9/6 BANDAR BARU PERMAS JAYA 81780 JOHOR TEL,"{""COMPANY"": 0.9209394752979279, ""ADDRESS"": 0.9363415360450744, ""DATE"": 0.9948838353157043, ""TOTAL"": 0.9979440569877625}","{""COMPANY"": ""PERNIAGAAN ZHENG"", ""ADDRESS"": ""JALAN PERMAS 9/6 BANDAR BARU PERMAS JAYA 81780 JOHOR TEL"", ""DATE"": ""09/02/2078"", ""TOTAL"": ""436.20""}",
3,X51005230657.jpg,CROSS CHANNEL SDN.,31/12/2017,7.95,"MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR. Tel :","{""COMPANY"": 0.9958662788073221, ""ADDRESS"": 0.9775590087686267, ""TOTAL"": 0.9951545000076294, ""DATE"": 0.9946624636650085}","{""COMPANY"": ""CROSS CHANNEL SDN."", ""ADDRESS"": ""MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR. Tel :"", ""TOTAL"": ""7.95"", ""DATE"": ""31/12/2017""}",
4,X51005230659.jpg,SWC ENTERPRISE SDN BHD,06/01/2018,8.0,"Jalan Mahagoni 7/1, Sekysen 4, Bandar Utama, 44300 Batang Kali, Selangor. Tel :","{""COMPANY"": 0.9968835711479187, ""ADDRESS"": 0.9643740195494431, ""DATE"": 0.9986324906349182, ""TOTAL"": 0.9971327781677246}","{""COMPANY"": ""SWC ENTERPRISE SDN BHD"", ""ADDRESS"": ""Jalan Mahagoni 7/1, Sekysen 4, Bandar Utama, 44300 Batang Kali, Selangor. Tel :"", ""DATE"": ""06/01/2018"", ""TOTAL"": ""8.00""}",
5,X51005268262.jpg,HORE MASTER HARDWARE & ELECTRICAL,22/12/2017,15.9,"& 115G, JALAN SETIA GEMEILANG SETIA ALAM, 40770 BANDAR SETIA ALAM, SELANGOR,","{""COMPANY"": 0.9948287963867187, ""ADDRESS"": 0.9106574306885401, ""DATE"": 0.9981751441955566, ""TOTAL"": 0.9968517422676086}","{""COMPANY"": ""HORE MASTER HARDWARE & ELECTRICAL"", ""ADDRESS"": ""& 115G, JALAN SETIA GEMEILANG SETIA ALAM, 40770 BANDAR SETIA ALAM, SELANGOR,"", ""DATE"": ""22/12/2017"", ""TOTAL"": ""15.90""}",
6,X51005268408.jpg,,,,,{},{},
7,X51005268472.jpg,,,32.7,"NO.23 BATU 10, TAMAN SE JALAN KAPAR, 42200 KLANG, S'","{""ADDRESS"": 0.9268878042697907, ""TOTAL"": 0.9963654279708862}","{""ADDRESS"": ""NO.23 BATU 10, TAMAN SE JALAN KAPAR, 42200 KLANG, S'"", ""TOTAL"": ""32.70""}",
8,X51005301667.jpg,"LIGHTROOM GALLERY, SDM",20/11/2017,,"28, JALAN ASTANA BANDAR BUKIT RAJA, KLANG SELANGOR D. IC","{""COMPANY"": 0.9171518683433533, ""ADDRESS"": 0.9868714034557342, ""DATE"": 0.998101532459259}","{""COMPANY"": ""LIGHTROOM GALLERY, SDM"", ""ADDRESS"": ""28, JALAN ASTANA BANDAR BUKIT RAJA, KLANG SELANGOR D. IC"", ""DATE"": ""20/11/2017""}",
9,X51005337867.jpg,Old Town Kopitiam Sdn Bhd Sri Rampai,22 Mar 18,30.25,,"{""COMPANY"": 0.8952946662902832, ""DATE"": 0.9990235567092896, ""TOTAL"": 0.9979939460754395}","{""COMPANY"": ""Old Town Kopitiam Sdn Bhd Sri Rampai"", ""DATE"": ""22 Mar 18"", ""TOTAL"": ""30.25""}",
10,X51005361898.jpg,HENG STATIONERY & BOOKS,15/01/2018,52.0,"JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN TEL:","{""COMPANY"": 0.9964328855276108, ""ADDRESS"": 0.9277640647358365, ""DATE"": 0.9972907900810242, ""TOTAL"": 0.9941433072090149}","{""COMPANY"": ""HENG STATIONERY & BOOKS"", ""ADDRESS"": ""JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN TEL:"", ""DATE"": ""15/01/2018"", ""TOTAL"": ""52.00""}",
